customer,age,occupation,regionType,marriageStatus,children,income,numHandsets,handsetAge,smartPhone,currentHandsetPrice,creditRating,homeOwner,creditCard,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,churn
1012396,60.0,,,False,False,9.0,1,867.0,False,0.0,A,False,True,17.94,25.25,16.99,7.75,0.0,0.575,0.053,0.0,0.0,0.0,2.255639098,4.953726035,0.0,29,0.0,0,0,0,True
1013056,24.0,clerical,town,False,False,2.0,3,404.0,True,29.99,D,False,True,86.5,796.25,75.0,46.0,0.0,-2.545,-0.23,134.33,23.0,5.33,1.1182326470000001,20.39924983,14.67,28,0.0,0,0,0,False
1019367,54.0,,town,True,False,9.0,4,131.0,True,29.99,C,True,True,114.02,930.5,50.0,190.25,0.0,-4.51,-0.665,336.75,32.0,16.0,9.265227272999999,3.920739792,23.33,29,0.0,0,0,0,True
1001276,,,suburban,,False,,1,1375.0,False,0.0,A,True,False,19.95,10.25,19.95,0.0,0.0,0.115,0.0,0.46,0.67,0.0,2.255639098,2.6538491630000003,0.33,45,0.0,0,0,0,False
1010943,30.0,,,False,False,1.0,1,952.0,True,0.0,C,False,True,35.21,197.25,34.98,0.0,0.0,-0.945,-0.0044,121.93,12.0,2.67,1.627832748,-14.81720594,5.67,32,0.0,0,0,0,True
1086456,80.0,retired,,True,False,2.0,1,248.0,True,0.0,B,False,True,91.63,1228.0,94.99,0.0,3.32,-0.82,0.045,281.78,22.33,0.0,1.309937738,1.664093511,16.67,8,0.67,0,0,0,True
1038249,,,,,False,,3,385.0,True,129.99,B,True,False,57.34,31.25,24.59,0.0,0.0,-0.625,2.0402,3.47,0.67,0.0,1.818553888,-13.580110699999999,1.33,19,3.0,1,1,2,True
1067721,40.0,professional,suburban,True,True,6.0,1,273.0,True,0.0,E,False,True,53.22,269.75,29.99,33.0,0.0,-1.755,-0.306,10.68,1.0,0.67,5.808325266000001,-13.73487675,0.67,9,0.33,0,0,3,True
1093576,34.0,professional,suburban,False,False,4.0,4,59.0,True,99.99,B,False,True,57.76,2159.5,10.0,297.5,0.0,8.93,0.5589999999999999,844.47,88.33,117.0,0.96999971,-32.47901987,54.0,10,0.33,0,0,0,True
1079902,,,,,False,,1,271.0,True,0.0,E,True,False,52.74,1203.0,62.49,0.0,0.0,6.64,-0.055,168.38,57.33,3.33,0.533981481,5.696111791,6.33,9,0.33,0,0,0,False
1061277,58.0,professional,town,True,True,9.0,1,313.0,True,0.0,B,False,True,54.64,97.75,59.99,0.0,2.75,-0.215,0.01,0.06,0.0,0.0,2.881152461,-0.8951165999999999,5.0,10,0.0,0,0,0,False
1005031,38.0,professional,town,True,True,5.0,4,197.0,True,29.99,A,False,True,41.83,521.5,37.99,0.0,0.0,-2.15,0.008,82.63,12.33,5.67,0.729462631,5.6655769760000005,8.0,33,2.33,0,0,0,False
1050333,,,suburban,,False,,2,182.0,True,149.99,B,True,False,250.76,2428.75,88.94,395.5,2.0,9.085,2.8032,0.0,0.0,0.0,0.0,-1.5645436080000001,0.0,17,0.0,0,0,0,False
1057997,,,,,False,,1,330.0,True,0.0,E,True,False,36.05,586.25,30.0,3.75,1.0,-2.845,-0.0488,178.66,35.0,0.33,0.22319963199999998,-4.313228559,17.0,11,0.67,0,0,3,False
1095403,,,,,False,,1,247.0,True,0.0,E,True,False,51.1,511.0,66.77,0.0,0.0,-4.66,0.040999999999999995,43.86,19.67,0.67,0.442171811,-5.089733143,35.0,9,1.33,0,0,0,False
1011672,32.0,,,False,False,3.0,2,933.0,True,29.99,D,False,True,51.17,255.25,49.99,0.0,0.0,-2.425,-0.0236,114.19,3.0,4.0,2.412781219,9.814235539,3.33,31,0.0,0,0,2,True
1090105,30.0,professional,rural,True,True,7.0,1,215.0,True,0.0,B,False,True,10.0,56.75,10.0,1.25,0.0,-0.435,-0.01,10.99,7.67,2.67,1.5723472669999998,-4.4039335280000005,2.0,7,0.0,0,0,0,True
1046513,50.0,professional,town,True,True,7.0,1,479.0,True,0.0,B,False,True,31.78,1421.0,10.0,82.75,0.36,-10.6,-0.4456,642.53,89.67,45.67,0.80062201,-5.416995406,19.0,16,0.0,0,0,0,True
1047295,18.0,,,False,False,,2,233.0,True,149.99,E,True,False,114.94,1144.25,49.99,177.75,0.0,4.895,0.7398,358.2,44.67,10.0,1.206066683,-0.749874397,21.0,18,2.67,0,0,0,False
1053349,,,,,False,,2,272.0,True,129.99,G,True,False,44.28,754.5,22.5,61.5,0.0,-8.07,-0.8856,204.45,93.0,26.33,0.621234352,7.048781367999999,32.0,18,0.67,0,0,0,False
1003081,38.0,,suburban,False,False,8.0,2,380.0,True,29.99,A,False,True,51.35,291.0,29.99,0.0,3.16,0.16,0.0232,38.15,9.0,0.67,2.7769149310000003,-4.411495555,7.67,42,0.0,0,0,0,False
1032972,56.0,,suburban,False,False,3.0,1,563.0,True,0.0,D,False,True,123.51,622.25,37.83,237.75,1.65,6.235,2.0538,226.44,16.0,2.0,0.931938776,11.07504775,7.67,19,6.33,0,0,0,False
1034186,54.0,,,True,True,9.0,2,407.0,True,149.99,D,False,True,43.07,468.75,18.14,63.5,0.0,-8.295,-1.2474,146.38,33.67,7.33,0.664522293,7.798168095,10.0,22,1.0,0,0,0,True
1078017,54.0,,,False,True,6.0,2,215.0,True,399.99,B,False,True,55.17,624.0,59.99,4.25,0.49,-5.46,-0.0562,140.1,77.0,35.0,1.028969782,-17.75613404,101.67,7,0.0,0,0,0,False
1076028,48.0,,suburban,,False,9.0,2,389.0,True,149.99,B,False,True,84.24,496.5,44.99,140.0,0.0,-3.11,-0.943,62.29,41.67,1.33,4.552129222,-18.89974717,21.0,13,0.0,0,0,0,True
1090859,36.0,,,False,False,5.0,2,88.0,True,149.99,E,True,True,44.59,600.0,44.99,57.0,0.0,-1.14,-0.192,169.77,37.67,22.67,1.651329888,-9.576803389,12.67,11,2.0,0,0,0,False
1077481,,,,,False,,2,146.0,True,149.99,C,True,False,36.04,564.25,44.99,1.25,0.0,2.115,0.0102,129.86,20.33,15.0,0.693709259,9.219396518,13.33,7,10.67,0,0,1,False
1052898,56.0,,town,True,True,6.0,1,429.0,True,0.0,A,False,True,79.64,1030.25,84.99,0.5,0.0,-2.505,0.006,237.3,135.67,56.67,0.504154229,-10.91441607,14.67,14,0.0,0,0,1,True
1086694,30.0,crafts,rural,False,False,2.0,1,185.0,True,0.0,B,False,True,114.13,1020.25,59.99,187.0,2.89,1.715,0.37799999999999995,168.81,16.33,0.0,2.7674142280000003,20.86011566,24.67,6,0.33,0,0,0,False
1091234,30.0,self-employed,,True,True,3.0,1,312.0,True,0.0,E,False,True,73.63,907.5,53.07,70.5,2.35,-6.41,-0.4182,144.17,13.0,0.0,0.973053085,31.14865271,18.0,11,9.0,0,0,0,False
1054994,,,suburban,,False,,3,124.0,True,9.99,E,True,False,53.8,615.5,48.27,10.5,0.47,-0.73,0.9982,31.47,3.0,0.33,1.278372032,-8.520565315,2.0,12,6.33,0,0,0,True
1087402,36.0,,,False,False,4.0,1,350.0,False,0.0,B,False,True,67.73,387.0,13.33,41.0,0.0,-7.74,1.6456,44.36,27.33,0.67,1.730769231,15.85375735,5.67,12,1.33,0,0,0,False
1063411,36.0,,suburban,True,True,4.0,1,362.0,True,0.0,B,False,False,43.71,346.0,39.99,38.5,0.0,1.16,0.1316,46.08,38.0,3.0,2.251403135,-14.13979785,30.33,12,0.0,0,0,1,True
1081201,60.0,,,True,False,4.0,1,375.0,True,0.0,B,False,False,48.43,244.0,44.99,26.25,0.0,3.86,0.5464,20.47,10.0,0.0,3.1131561010000004,-10.6444055,7.0,13,0.33,0,0,0,False
1020612,50.0,,suburban,,False,9.0,1,734.0,True,0.0,C,False,True,63.94,62.0,79.99,1.5,0.0,-0.84,-0.002,17.35,5.33,3.33,3.095714286,-1.958972636,4.0,24,0.0,0,0,0,False
1051997,26.0,,,False,False,,2,323.0,True,9.99,G,True,False,58.95,456.5,49.99,0.0,0.0,-2.03,-0.0052,149.06,22.67,7.0,1.655243761,4.718627391,10.67,18,0.0,0,0,0,False
1014805,,,,False,False,9.0,2,848.0,True,29.99,D,False,False,30.82,131.0,29.99,2.25,0.0,-1.2,-0.0136,24.42,6.67,0.0,2.9375,4.310342791,1.0,29,0.0,0,0,0,True
1021225,46.0,,suburban,True,True,,1,664.0,True,0.0,B,False,False,83.43,338.0,29.99,150.5,0.0,-1.1,-0.4528,108.66,6.33,5.33,0.878537593,2.156665995,14.0,22,0.0,0,0,0,True
1098887,54.0,,suburban,False,False,4.0,1,933.0,True,0.0,A,False,True,17.63,8.33,16.99,1.33,0.0,0.3134,0.0192,0.0,0.0,0.0,0.33,-16.55659746,1.0,31,0.0,0,0,0,False
1054029,40.0,,town,True,False,5.0,1,419.0,False,0.0,B,False,True,10.0,12.0,10.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,-16.97988033,0.0,14,0.0,0,0,0,True
1002701,28.0,,suburban,,False,7.0,5,938.0,True,59.99,A,False,True,31.83,136.25,29.99,5.25,0.0,1.295,0.1102,26.63,3.33,1.0,0.60372478,7.543317489,0.67,39,0.0,0,0,0,True
1070260,,,town,,False,,2,253.0,True,79.99,B,True,False,84.46,2256.0,59.99,113.25,0.0,-5.32,-0.6894,329.38,187.0,28.67,0.409407797,-22.82185624,78.33,10,7.67,0,0,0,True
1017437,50.0,,rural,False,True,1.0,2,300.0,True,29.99,A,False,True,29.68,144.25,29.83,0.25,0.0,-0.665,-0.004,25.03,24.0,10.0,1.4091374019999998,-5.982311248999999,4.67,23,0.33,0,0,1,True
1022828,30.0,,,True,True,6.0,2,230.0,True,59.99,F,False,False,29.8,167.25,39.35,0.0,0.0,0.835,0.0398,47.91,1.33,1.33,2.2132,9.525765822,6.67,25,3.67,0,0,0,False
1046699,,,,,False,,2,141.0,True,29.99,A,True,False,80.34,1435.0,59.99,75.25,0.0,-6.58,-0.40700000000000003,148.75,54.33,12.67,1.051464485,11.69474231,8.33,16,3.0,0,0,0,True
1021004,62.0,,,,False,7.0,1,836.0,True,0.0,B,False,True,32.44,108.5,29.99,7.0,0.0,0.09,-0.049,7.26,4.0,1.33,1.486420754,-3.242151817,0.67,28,0.0,0,0,0,False
1048391,48.0,,,,False,6.0,1,467.0,True,0.0,B,True,True,33.24,5.75,29.99,0.0,0.0,-0.115,0.0,0.0,0.0,0.0,0.0,-10.65001705,0.0,15,0.0,0,0,0,False
1066237,32.0,,suburban,False,False,6.0,1,454.0,True,0.0,B,False,True,21.22,17.5,19.99,1.5,0.64,0.09,-0.009000000000000001,0.0,0.0,0.0,0.0,-9.70223968,0.0,15,0.0,1,0,0,True
1027610,64.0,,,True,False,6.0,1,649.0,True,0.0,B,False,True,30.24,148.5,29.99,0.0,0.0,-0.21,-0.005,1.6,5.33,0.0,4.1290743160000005,-19.44692876,3.67,21,0.0,0,0,0,False
1076950,56.0,,rural,True,True,6.0,1,221.0,True,0.0,D,False,True,82.7,526.25,54.99,129.75,2.23,-2.845,-0.708,144.88,2.33,1.67,2.369881506,-11.939815699999999,12.67,7,2.33,0,0,0,False
1016647,30.0,,,False,False,4.0,1,781.0,False,0.0,C,False,True,33.24,35.25,29.99,0.0,0.0,-0.125,0.0,5.35,5.0,0.33,1.0,-3.6511224380000002,0.67,26,0.33,0,0,0,False
1051660,,,suburban,,False,,2,533.0,True,149.99,D,True,False,60.6,733.5,49.99,0.75,0.49,-4.55,-0.0578,241.36,12.67,6.0,0.6774084290000001,4.428295941,15.67,18,0.0,0,0,0,True
1064645,,,,,False,,1,402.0,True,0.0,C,True,False,33.99,126.0,37.49,0.0,0.0,0.22,0.0,54.0,5.33,3.33,1.0648596320000001,-7.497370033999999,0.67,14,0.33,0,0,0,True
1053569,,,suburban,,False,,4,66.0,True,199.99,F,True,False,62.63,678.25,49.99,5.75,0.0,4.695,-0.0374,98.46,13.0,1.0,1.8768133759999999,-0.9287342959999999,9.67,18,0.0,0,0,0,True
1037965,48.0,,rural,False,False,9.0,2,209.0,True,149.99,B,False,True,34.49,537.0,32.49,0.0,1.46,-4.18,-0.04,175.48,37.67,4.0,2.456210993,6.885584408,5.33,17,0.0,0,0,0,False
1039162,,,suburban,False,False,6.0,1,664.0,False,0.0,A,False,False,22.74,41.75,22.74,0.0,0.0,-0.195,-0.4352,0.0,1.0,0.0,1.8,6.567313827,0.0,22,0.67,0,0,0,False
1031815,,,,,False,,2,434.0,True,79.99,D,True,False,52.97,401.5,50.0,0.0,0.0,0.73,-0.0198,8.64,14.0,0.33,1.641932428,-21.30162746,7.0,23,0.33,0,0,0,False
1011347,30.0,,town,True,True,6.0,2,685.0,True,29.99,A,False,True,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183099231,0.0,31,0.0,0,0,2,True
1091749,,,town,,False,,2,9.0,True,149.99,B,True,False,38.69,405.5,44.99,9.25,0.0,0.13,-0.07400000000000001,108.75,51.67,22.33,0.988095238,2.7160564999999997,4.0,7,0.67,0,0,0,False
1071490,46.0,,suburban,False,False,7.0,1,356.0,True,0.0,B,True,True,34.99,545.25,44.99,0.0,0.0,2.235,0.0,0.0,0.0,0.0,0.0,10.21341499,0.0,12,0.0,0,0,0,True
1047636,36.0,professional,,False,True,6.0,1,581.0,True,0.0,B,False,True,34.99,182.25,44.99,0.0,0.0,-0.485,0.0,9.99,6.67,0.0,1.9995588880000001,-2.70334132,0.33,20,0.67,0,0,0,False
1000971,52.0,,suburban,True,False,6.0,2,411.0,True,29.99,A,False,True,35.24,892.5,44.99,0.0,0.0,0.03,-0.005,208.82,8.33,2.0,1.0169836270000001,-15.16025063,13.33,49,3.0,0,0,2,False
1086735,70.0,,town,True,False,6.0,2,264.0,True,129.99,B,False,True,61.78,526.0,44.99,56.75,0.0,-2.28,-0.3576,75.8,62.67,7.0,1.15625,6.017871047000001,9.67,10,0.33,0,0,0,True
1062590,32.0,,,False,False,,3,40.0,True,149.99,G,True,False,93.8,968.75,10.0,296.75,3.88,9.205,2.1694,112.17,35.0,5.67,2.990197535,11.72360312,8.67,14,0.33,0,0,0,False
1094274,24.0,,,,False,3.0,2,50.0,True,149.99,E,True,False,60.99,649.0,44.99,53.75,0.0,2.28,0.6478,137.8,29.0,7.67,0.9210547090000001,-0.865743385,12.33,7,3.0,0,0,0,False
1042485,34.0,,,,False,5.0,1,462.0,True,0.0,B,False,True,64.63,701.0,49.99,16.75,0.0,-1.6,-0.1206,19.23,1.0,0.0,1.0189063740000002,4.004380321,24.0,15,0.67,0,0,0,True
1077307,,,suburban,True,False,9.0,1,328.0,True,0.0,B,False,False,10.0,65.5,10.0,0.0,0.0,0.23,0.0,0.94,3.33,0.0,4.177111717,0.873639855,2.33,11,0.0,0,0,0,True
1060903,52.0,professional,suburban,True,False,9.0,1,316.0,True,0.0,B,False,True,75.36,614.75,56.24,71.5,0.0,1.425,-0.8074,335.89,21.67,15.33,0.938552632,-3.064156855,3.0,10,0.0,0,0,0,False
1007073,44.0,,,True,True,6.0,1,1045.0,False,0.0,A,False,True,20.74,31.0,12.99,31.0,0.0,0.46,0.115,13.59,2.33,1.67,5.666666667,-1.062395145,0.0,35,0.0,0,0,0,True
1048482,44.0,,,True,True,7.0,1,466.0,False,0.0,C,False,True,39.68,354.0,49.99,14.0,0.0,2.08,0.026000000000000002,10.92,4.67,1.67,2.256153846,8.78814492,7.0,15,3.0,0,0,0,True
1041947,28.0,,suburban,,False,5.0,3,2.0,True,99.99,E,False,False,56.91,879.0,44.99,30.0,0.16,-5.36,0.0642,0.0,0.0,0.0,0.0,-7.374495446,0.0,15,0.0,0,0,0,False
1042374,50.0,,suburban,False,True,7.0,1,633.0,True,0.0,B,False,True,121.88,560.5,81.28,115.5,0.0,1.11,0.3364,167.11,16.33,18.67,3.45,-4.052052217,12.33,21,0.0,0,0,0,True
1084961,,,,,False,,2,170.0,True,29.99,C,True,False,51.92,457.5,59.99,0.0,0.94,-2.65,0.0366,106.3,27.67,11.67,3.095760023,-1.726578182,3.0,8,0.0,0,0,1,False
1024250,54.0,clerical,suburban,False,True,2.0,1,685.0,True,0.0,A,False,True,10.0,0.75,10.0,0.0,0.0,-0.015,0.0,0.0,0.0,0.0,0.0,2.368693148,0.0,23,0.0,1,0,0,False
1036090,24.0,professional,suburban,True,False,6.0,1,528.0,True,0.0,B,False,False,36.83,121.75,29.99,14.5,0.26,-0.795,-0.1092,2.51,0.33,0.0,15.665,6.623587295,1.0,17,0.0,0,0,0,False
1029778,48.0,clerical,,False,True,6.0,2,301.0,True,149.99,C,False,True,36.78,104.0,43.54,0.25,0.0,0.62,0.0292,12.55,8.33,3.0,1.53621068,-6.836031799,1.0,21,1.67,0,0,0,False
1035736,38.0,,,False,True,2.0,3,192.0,True,79.99,A,True,False,79.49,1025.75,84.99,0.0,0.0,0.805,0.01,293.27,89.0,44.33,0.7048477740000001,-1.9354656590000001,14.33,20,1.67,0,0,0,True
1098733,42.0,professional,suburban,True,False,5.0,2,246.0,True,29.99,A,False,True,34.92,1302.33,44.99,0.0,1.48,-4.4866,0.0554,14.3,15.33,2.33,0.567250725,-19.32740214,3.67,32,21.0,0,0,0,False
1082520,,,,,False,,3,16.0,True,29.99,E,True,False,85.1,1115.5,41.99,107.75,0.0,1.13,-0.716,359.9,40.67,5.0,1.4531574369999998,0.760973095,85.0,7,33.0,0,0,0,True
1082880,84.0,professional,suburban,True,False,5.0,1,201.0,True,0.0,G,False,True,30.26,27.25,39.99,0.0,0.0,0.435,-0.0054,0.07,0.0,0.0,0.1994003,-10.32930843,1.0,7,0.0,0,0,0,False
1033889,46.0,professional,suburban,,False,7.0,3,195.0,True,39.99,B,False,True,77.0,761.0,49.99,94.75,0.0,2.74,1.1938,215.49,22.33,20.33,1.642037037,-1.3898207580000002,23.67,20,2.67,0,0,3,True
1014929,38.0,self-employed,,True,True,9.0,3,346.0,True,9.99,C,False,True,137.12,600.75,119.1,28.25,2.6,0.005,0.0068,0.0,0.0,0.0,0.0,-3.314293674,0.0,31,0.0,0,0,0,False
1052411,,,,True,False,5.0,1,480.0,True,0.0,B,False,True,49.28,301.25,39.99,24.25,0.8,-1.905,-0.1346,73.52,4.0,0.0,3.050330452,1.6540505140000001,2.67,16,0.0,0,0,0,True
1000540,38.0,,,False,False,6.0,2,872.0,True,29.99,C,False,True,71.01,711.5,59.99,69.25,0.0,-7.63,-0.4006,210.82,27.0,9.33,0.936390087,9.087285854,12.67,51,0.0,0,0,0,False
1026120,28.0,,,False,False,5.0,3,229.0,True,79.99,B,True,False,39.57,188.75,39.99,0.0,0.0,-3.335,-0.0316,61.83,11.67,5.0,3.2835,-1.631262715,2.0,20,0.0,0,0,0,True
1081953,,,,,False,,1,312.0,True,0.0,B,True,False,35.63,385.25,44.99,0.75,0.1,-7.605,-0.0128,62.1,24.67,10.33,0.478637947,5.5782213270000005,19.0,11,5.0,0,0,0,True
1086017,,,,False,False,7.0,2,30.0,True,29.99,C,False,True,70.83,429.0,44.99,101.5,0.0,19.28,2.1252,17.22,15.67,7.67,1.16929334,-2.2910905269999997,3.67,6,1.0,0,0,0,False
1001009,44.0,professional,,True,True,9.0,3,80.0,True,9.99,A,False,True,10.7,111.25,9.71,0.0,0.0,0.235,0.0256,40.95,7.0,10.67,16.02145923,-17.57165664,0.0,51,0.0,0,0,0,False
1025564,28.0,,town,False,False,5.0,4,59.0,True,129.99,E,False,True,59.19,703.0,49.99,23.0,0.0,0.04,-0.1186,201.72,125.67,7.33,0.9617670220000001,1.610500389,20.0,22,10.33,0,0,2,True
1043908,34.0,,suburban,False,False,6.0,2,22.0,True,29.99,D,False,True,177.84,1026.25,44.91,425.75,0.0,-5.305,-1.125,157.28,138.33,55.67,2.145454545,-16.91220079,31.67,19,0.33,0,0,0,True
1020576,40.0,professional,suburban,True,True,9.0,2,575.0,True,59.99,A,False,True,82.03,648.0,84.99,3.0,2.83,2.36,0.0114,74.81,40.33,0.0,5.0217044369999995,12.74621368,6.0,28,0.0,0,0,0,False
1087610,,,,,False,,1,348.0,True,0.0,B,True,False,221.61,1456.5,63.62,568.75,3.83,-12.39,-3.0992,552.8,46.33,4.67,2.92,-12.77738251,42.0,12,0.0,0,0,0,False
1013456,28.0,,,False,False,1.0,1,842.0,True,0.0,A,False,True,52.24,524.0,50.0,5.5,0.0,-1.08,-0.033,324.08,21.0,0.0,1.436273404,15.55611186,3.0,28,1.33,0,0,0,True
1007498,24.0,,suburban,False,False,5.0,1,932.0,True,0.0,C,True,True,32.51,154.25,32.49,0.0,0.29,-1.085,0.0194,62.05,4.33,0.0,2.6361511490000002,-3.6486051710000003,2.33,31,0.0,0,0,0,True
1061781,56.0,,,,True,9.0,1,372.0,True,0.0,C,False,True,70.72,919.75,69.99,35.75,0.0,4.465,0.6436,781.11,16.33,1.0,1.115393492,-12.98612843,3.67,12,0.33,0,0,0,False
1035295,44.0,crafts,,True,True,4.0,2,264.0,True,59.99,C,False,True,23.74,879.0,30.48,1.75,0.0,-17.58,-1.636,279.91,69.33,23.33,0.6244333329999999,1.8267690109999999,56.67,22,11.33,0,0,0,False
1017871,,,,,False,,1,871.0,True,0.0,A,True,False,54.33,259.5,29.99,61.0,0.0,0.05,-0.042,86.39,4.0,30.0,1.440694691,11.16346751,3.0,29,0.0,0,0,0,False
1004174,36.0,,suburban,,False,8.0,7,128.0,True,129.99,C,False,True,95.98,1666.75,84.99,127.25,0.16,-2.635,-0.2498,468.0,33.33,7.0,2.167036586,0.26748158699999997,16.0,34,5.33,0,0,0,False
1006842,42.0,,suburban,,False,6.0,1,1002.0,True,0.0,A,False,True,51.18,486.25,50.0,3.75,0.0,-0.145,-0.0238,10.12,1.0,0.0,1.9361084219999998,12.33805732,0.0,33,9.67,0,0,0,False
1038151,48.0,,,True,False,3.0,2,212.0,True,29.99,C,False,True,148.06,1394.5,54.98,321.75,0.0,-9.07,-1.8018,528.02,44.0,61.0,0.7692307690000001,6.186169817000001,12.33,19,0.0,0,0,0,False
1043408,,,,,False,,1,454.0,True,0.0,C,True,False,75.44,1127.5,52.66,73.0,0.0,11.43,1.0484,190.62,44.0,5.33,0.644808743,-9.349218259,84.0,15,8.0,0,0,0,False
1077713,,,,,False,,1,326.0,True,0.0,C,True,False,40.42,373.75,44.99,0.25,0.1,-0.375,-0.0286,65.47,63.0,5.0,1.085687866,3.8542867999999997,7.33,11,0.0,0,0,0,False
1009864,36.0,self-employed,,False,False,6.0,10,30.0,True,0.0,A,False,True,79.64,1593.25,112.49,0.0,0.16,4.655,0.2196,399.32,91.67,36.33,1.05012612,3.7839911539999997,8.0,35,2.0,0,0,1,False
1072035,,,,,False,,1,245.0,True,0.0,E,True,False,118.67,865.0,50.24,86.5,10.31,10.36,4.0089999999999995,240.73,37.67,21.67,0.77793359,11.04175291,12.0,8,16.0,0,0,0,False
1096665,56.0,,,True,False,8.0,1,206.0,True,0.0,B,False,True,10.0,12.75,10.0,0.0,0.0,-0.255,0.0,0.78,2.33,0.0,2.498127341,11.1890071,0.0,7,0.0,0,0,0,False
1007061,46.0,clerical,suburban,False,False,6.0,1,1045.0,False,0.0,C,False,True,10.2,78.25,10.0,0.0,0.2,-0.005,0.0116,29.37,5.67,1.0,0.660904931,1.815168331,0.33,35,0.0,0,0,0,True
1041923,,,town,,False,,1,468.0,True,0.0,C,True,False,70.93,945.5,59.99,62.5,0.0,-1.27,-0.39899999999999997,282.46,79.33,7.0,0.838263682,-0.122457637,5.33,15,0.0,0,0,0,False
1012125,38.0,crafts,town,,False,8.0,5,189.0,True,129.99,C,False,True,100.23,1472.75,69.99,130.5,0.0,4.705,1.0608,270.19,71.33,21.67,0.763333333,6.425067147,45.33,31,11.33,0,0,0,True
1054856,54.0,retired,suburban,,True,6.0,3,39.0,True,129.99,E,False,True,103.93,1798.0,44.99,220.25,0.0,-14.92,-2.0786,137.41,24.0,0.67,0.995732396,9.099003539,46.33,14,4.0,0,0,0,True
1052070,32.0,,town,False,False,8.0,1,436.0,True,0.0,B,False,True,44.92,440.25,49.99,0.0,3.22,0.295,0.0172,92.76,11.67,5.0,2.960882353,20.31020413,8.67,14,0.0,0,0,0,True
1056014,,,,,False,,1,405.0,True,0.0,E,True,False,92.05,1396.25,84.99,20.75,0.0,-3.425,-0.3412,324.71,47.67,12.67,1.067916667,7.522888131,15.67,13,5.67,0,0,0,False
1080360,62.0,,,True,False,8.0,1,270.0,True,0.0,B,False,True,30.67,240.25,39.99,0.0,0.68,2.695,-0.0136,8.06,1.0,0.33,3.70875,-4.437770568,1.33,9,0.0,0,0,0,False
1037469,,,,,False,,1,515.0,True,0.0,E,True,False,44.56,253.0,41.42,0.0,0.0,-5.06,-1.8156,34.91,6.33,1.0,3.295,12.79113801,5.0,17,1.33,0,0,0,True
